id,title,release_date,poster_path,popularity,overview
1181039,Candle in the Tomb: The Worm Valley,2023-09-22,/7Hk1qxAvZi9H9cfBb4iHkoGjapH.jpg,71.9145,"Adapted from the 3rd volume in the novel series ""Candle in the Tomb"" by Zhang Mu Ye. Hu Bayi, Wang Kaixuan, and Shiely Yang, infected with a curse, embark on a journey to King Xian's tomb to retrieve the Haochen Bead and break the curse. They face ancient organs, ghostly visions, explosive bugs, and a massive salamander."
713364,Clown in a Cornfield,2025-05-08,/dkIigNrQI5kklCC9Cv9b2Vpr1Q0.jpg,71.5925,"Quinn and her father have just moved to the quiet town of Kettle Springs hoping for a fresh start. Instead, she discovers a fractured community that has fallen on hard times after the treasured Baypen Corn Syrup Factory burned down. As the locals bicker amongst themselves and tensions boil over, a sinister, grinning figure emerges from the cornfields to cleanse the town of its burdens, one bloody victim at a time."
1376434,Predator: Killer of Killers,2025-06-05,/2XDQa6EmFHSA37j1t0w88vpWqj9.jpg,71.5707,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers."
507086,Jurassic World Dominion,2022-06-01,/jbAvCACjLf1ZG0unB2tdmx5HAf1.jpg,71.2112,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures."
870028,The Accountant²,2025-04-23,/kMDUS7VmFhb2coRfVBoGLR8ADBt.jpg,69.326,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried."
1197306,A Working Man,2025-03-26,/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg,69.0322,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined."
547016,The Old Guard,2020-07-09,/cjr4NWURcVN3gW5FlHeabgBHLrY.jpg,65.9649,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.
1257586,The Hangman,2024-05-30,/rij9Eh4RVXyPet8A1BNU8pDvtmu.jpg,65.2467,"Troubled father Leon takes son camping in Appalachia. Local cult summons evil Hangman demon. Son goes missing. Leon must confront cult, monster to find him amid rising body count."
1241982,Moana 2,2024-11-21,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,63.9606,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced."
1063574,Misericordia,2024-10-16,/i1eFKvcUNdyNd53YeEOK2vNkBsL.jpg,63.0166,"Jérémie returns to his hometown for the funeral of his former boss, the village baker. He decides to stay for a few days with Martine, the man's widow. A mysterious disappearance, a threatening neighbor and a priest with strange intentions make Jérémie's short stay in the village take an unexpected turn."
1010581,My Fault,2023-06-08,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,62.2735,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning."
1504735,Squid Game in Conversation,2025-06-26,/gn1rd6ZTJSfVLGzPDqiBv2xNRjj.jpg,61.19,"Take a seat with the director and cast of Squid Game. Discover key moments, hear untold stories and see what this entire journey meant to them."
1450599,K.O.,2025-06-05,/qcM2sUiAeP4zXwx4ADSvgc9S58k.jpg,57.8261,"A former fighter must find the missing son of an opponent he accidentally killed years ago, taking on a brutally violent crime gang in Marseille."
1284120,The Ugly Stepsister,2025-03-07,/crX9rSg9EohybhkEe8iTQUCe55y.jpg,57.5967,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye."
822119,Captain America: Brave New World,2025-02-12,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,57.5347,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red."
447273,Snow White,2025-03-12,/xWWg47tTfparvjK0WJNX4xL8lW2.jpg,55.6555,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom."
1414272,Belyas,2025-02-07,/zPIaNQaQKtCIOs95x4GmaJ6omco.jpg,54.554,"Audrey Avila, Denise Esteban and Dani Yoshida star as sultry Belyas. A housewife who is tired of her controlling husband takes a different turn when two young prostitutes rent their apartment. As she befriends the two, she begins to admire the sexual freedom they have."
715287,Stepmom's Desire,2020-05-29,/rYC6UyML4CU4zYiZVbDMrwnGyWW.jpg,54.2499,"Sang-jin, who was envious of her neighbor after getting a beautiful wife, Ask your wife's friend Gian to take over the son's extracurricular teacher, Sang-jin, who left work early, accidentally sees Gian's shower. A man who wants to have sex with his son's tutor, And a son who wants to have a good time with a young stepmom, Ji-an and Jin-hee, who want money, are disappointed with her husband, and Bin-jin gives her body to a young son."
1239193,Deep Cover,2025-06-12,/1vXTHTbSQJs9r2hp4Uk08XzKwPp.jpg,53.3826,"Kat is an improv comedy teacher beginning to question if she’s missed her shot at success. When an undercover cop offers her the role of a lifetime, she recruits two of her students to infiltrate London’s gangland by impersonating dangerous criminals."
939243,Sonic the Hedgehog 3,2024-12-19,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,53.0147,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet."
10191,How to Train Your Dragon,2010-03-18,/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,52.602,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father."
351286,Jurassic World: Fallen Kingdom,2018-06-06,/270MrJNqJovumHXGE6SSt0zwUIF.jpg,51.9785,"Three years after Jurassic World was destroyed, Isla Nublar now sits abandoned. When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event."
135397,Jurassic World,2015-06-06,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,51.401,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond."
1470736,Open,2025-06-14,/A7TXvimVRgGiKsviUopqPLr3fY1.jpg,44.4654,"The perfect summer turns into a blood-soaked nightmare as counselors at an isolated camp are hunted by a killer and the truth behind the murders is darker than anyone imagined. If the killer doesn't get you, the drama definitely will."
1363224,Fear Cabin: The Last Weekend of Summer,2024-09-27,/gaSqrnpSnTq5oYno0KnDyDXAF5r.jpg,45.6681,"Six friends rent a cabin in the middle of the woods on the last weekend of summer and set out to have an amazing time full of partying and drinking. Little do they know that they will be sharing this cabin with an unexpected guest, will they make it out alive?"
1137350,The Phoenician Scheme,2025-05-23,/jtEqpy0K1iVuCebRwWqT6BZ6jLN.jpg,49.9667,"Wealthy businessman Zsa-zsa Korda appoints his only daughter, a nun, as sole heir to his estate. As Korda embarks on a new enterprise, they soon become the target of scheming tycoons, foreign terrorists, and determined assassins."
10191,How to Train Your Dragon,2010-03-18,/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,52.602,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father."
